
Nasjonal vegdatabank- PRODUKSJON          2021-11-15 09.04

Oversikt over veglenker som ikke er fullt dekket av objekttype 904 (vegkat ERF, fase VT, trafikantgr K, vegtype -ferje)

PL/SQL procedure successfully completed.


       NID      MSLOC      MELOC     LENGTH VREF
   3342552          0          1     67.088 FV1626 S1D1 seq=1500 KD1 (K)
   3342555          0          1     14.513 FV1626 S1D1 seq=1500 (K)
   3342556          0          1     64.126 FV1642 S1D10 seq=11250 (K)
   3342749          0          1     329.42 FV455 S1D30 seq=950 (K)
   3343081          0          1     35.987 RV25 S4D10 seq=12600 (K)
   3343082          0          1      91.02 RV25 S4D10 seq=12300 KD1 (K)
   3343083          0          1    113.039 RV25 S4D10 seq=12300 (K)
   3343240          0          1     71.969 RV706 S1D30 seq=8160 KD1 (K)
   3343241          0          1     13.957 RV706 S1D30 seq=8160 (K)
   3343242          0          1     38.707 RV706 S1D30 seq=8150 (K)
   3343253          0          1     76.605 RV706 S1D20 seq=8100 KD1 (K)
   3343256          0          1     73.253 RV706 S1D1 seq=20450 (K)
   3343261          0          1     76.171 EV6 S76D1 seq=1000 KD3 (K)
   3343262          0          1      62.84 RV706 S1D1 seq=7000 KD1 (K)
   3343267          0          1     17.733 RV706 S1D20 seq=8100 (K)
   3343268          0          1     98.542 RV706 S1D20 seq=8100 (K)
   3344720          0          1    514.023 RV4 S4D1 seq=8200 (K)
   3344834          0          1     43.626 FV3282 S2D1 seq=8000 (K)
   3344835          0          1      2.912 FV3286 S1D1 seq=1000 (K)
   3344853          0          1     28.219 EV16 S47D60 seq=161600 (K)
   3344858          0          1     54.624 EV16 S47D60 seq=161300 (K)
   3344859          0          1     63.325 EV16 S47D60 seq=161300 KD1 (K)
   3345516          0          1    1596.78 FV715 S20D1 seq=2530 (K)
   3345517          0          1    211.199 FV715 S20D1 seq=2510 (K)
   3349045          0          1     308.84 FV3294 S1D1 seq=3000 (K)
   3349320          0          1    354.227 FV715 S8D1 seq=1100 (K)
   3350251          0          1    122.768 EV39 S126D1 seq=1600 (K)
   3352351          0          1     13.722 FV1774 S2D30 seq=600 (K)
   3353391          0          1     10.196 EV18 S55D1 seq=79500 KD5 (K)
   3353522          0          1    286.367 FV411 S2D1 seq=3000 (K)
   3354314          0          1     101.64 FV6995 S1D100 seq=1070 (K)
   3355971          0          1    104.287 FV770 S7D1 seq=3100 KD1 (K)
   3355993          0          1     22.061 FV4850 S1D1 seq=1500 (K)
   3357084          0          1    625.499 FV5212 S1D10 seq=2000 (K)
   3357130          0          1    1583.99 FV3616 S1D1 seq=7000 (K)
   3357823          0          1    679.882 FV119 S2D1 seq=8100 (K)
   3357927          0          1     53.596 FV227 S1D1 seq=1000 (K)
   3357936          0          1     94.103 FV184 S2D1 seq=5500 (K)
   3357937          0          1    103.486 FV184 S2D1 seq=5000 KD1 (K)
   3357938          0          1     49.529 FV184 S2D1 seq=5000 (K)
   3358682          0          1    151.435 FV6668 S1D104 seq=8100 (K)

426 rows selected.

Total lengde som mangler: 76719.545m

PL/SQL procedure successfully completed.

